measured_on,ac_current__319,ac_power__315,ac_voltage__318,ambient_temp__320,battery_pack_voltage__1363,biased_module_3_10_mv__1209,biased_module_3_11_mv__1210,biased_module_3_12_mv__1211,biased_module_3_13_mv__1212,biased_module_3_14_mv__1213,biased_module_3_15_mv__1214,biased_module_3_16_mv__1215,biased_module_3_4_mv__1203,biased_module_3_5_mv__1204,biased_module_3_6_mv__1205,biased_module_3_7_mv__1206,biased_module_3_8_mv__1207,biased_module_3_9_mv__1208,biased_module_voltage__1202,control_module_voltage__1371,das_battery_voltage__1369,das_temp__1368,das_temp__325,dc_pos_current__317,dc_pos_voltage__316,dc_power__314,dcdc_1_voltage__1364,dcdc_2_voltage__1365,dcdc_exhaust_temp__1367,hviv_load_temp_1__1191,hviv_load_temp_2__1192,hviv_load_temp_3__1193,interior_temp__1366,module_temp_1__321,program_codeset__1373,resistor_box_3_temp__1370,unbiased_module_3_1_mv__1199,unbiased_module_3_2_mv__1200,unbiased_module_3_3_mv__1201,unbiased_module_temp_3_1__1195,unbiased_module_temp_3_2__1196,unbiased_module_temp_3_3__1197,vcm_above_threshold__1372,system_id
2010-05-24 01:28:00,5.052,0.126,123.444,13.58,,,,,,,,,,,,,,,,,,,326.458,0.0089999999999999,1.852,0.016,,,,,,,,14.212,,,,,,,,,,4
2010-05-24 01:29:00,5.06,0.049,123.524,13.583,,,,,,,,,,,,,,,,,,,295.688,0.0089999999999999,1.684,0.014,,,,,,,,14.178,,,,,,,,,,4
2010-05-24 01:30:00,5.061,0.066,123.554,13.683,,,,,,,,,,,,,,,,,,,268.547,0.006,1.852,0.012,,,,,,,,14.195,,,,,,,,,,4
2010-05-24 01:31:00,5.061,-0.116,123.508,13.735,,,,,,,,,,,,,,,,,,,300.728,0.008,1.636,0.012,,,,,,,,14.178,,,,,,,,,,4
2010-05-24 01:32:00,5.059,-0.105,123.492,13.585,,,,,,,,,,,,,,,,,,,280.461,0.006,1.674,0.01,,,,,,,,14.116,,,,,,,,,,4
2010-05-24 01:33:00,5.06,0.214,123.526,13.597,,,,,,,,,,,,,,,,,,,270.175,0.008,1.716,0.014,,,,,,,,14.121,,,,,,,,,,4
2010-05-24 01:34:00,5.059,0.0,123.535,13.672,,,,,,,,,,,,,,,,,,,279.095,0.007,1.896,0.014,,,,,,,,14.082,,,,,,,,,,4
2010-05-24 01:35:00,5.059,0.2909999999999999,123.553,13.77,,,,,,,,,,,,,,,,,,,284.456,0.007,1.722,0.012,,,,,,,,14.067,,,,,,,,,,4
2010-05-24 01:36:00,5.066,-0.121,123.482,13.742,,,,,,,,,,,,,,,,,,,294.32,0.007,1.512,0.01,,,,,,,,14.062,,,,,,,,,,4
2010-05-24 01:37:00,5.038,0.2089999999999999,122.908,13.548,,,,,,,,,,,,,,,,,,,309.139,0.008,1.554,0.012,,,,,,,,14.067,,,,,,,,,,4
