measured_on,ac_current__758,ac_power_1__767,ac_power__752,ac_volts__757,das_battery_voltage__769,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,module_temp_2__761,poa_irradiance__750,system_id
2018-10-12 02:11:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:12:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:13:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:14:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:15:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:16:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:17:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:18:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:19:00,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,50
2018-10-12 02:20:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:21:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:22:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:23:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:24:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:25:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:26:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:27:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:28:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:29:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:30:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:31:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:32:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,1047.0,50
2018-10-12 02:33:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:34:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:35:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:36:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:37:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:38:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:39:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:40:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:41:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:42:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:43:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,1052.0,50
2018-10-12 02:44:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,20.0,,50
2018-10-12 02:45:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:46:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:47:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:48:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:49:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:50:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:51:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:52:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:53:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:54:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:55:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:56:00,0.0,,,0.0,,,0.0,,0.0,,,,,,50
2018-10-12 02:57:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 02:58:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 02:59:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:01:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:02:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:03:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:04:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:05:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:06:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
