measured_on,ac_current__427,ac_power__423,ac_voltage__426,ambient_temp__428,das_battery_voltage__434,das_temp__433,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,module_temp_1__429,poa_irradiance__421,system_id
2022-11-27 02:39:00,-2.108,-75.71899999999998,-6.2259,0.436,10.583,16.235,-0.65366,-16.966,11.091,,-7.876699999999999,10
2022-11-27 02:40:00,-2.0765,-74.325,-6.3207,0.4167799999999999,11.168,16.348,-0.6511599999999999,-17.268,11.245,,-7.8226,10
2022-11-27 02:41:00,-2.092,-75.024,-6.3036,0.40943,10.532,16.269,-0.6489899999999998,-17.276,11.206,,-7.8411,10
2022-11-27 02:42:00,-2.0863,-74.762,-6.3146,0.3804699999999999,10.461,16.288,-0.6453999999999999,-17.319,11.173,,-7.789399999999999,10
2022-11-27 02:43:00,-2.0532,-73.325,-6.2524,0.3860899999999999,10.724,16.339,-0.6368399999999999,-17.215,10.958,,-7.9675,10
2022-11-27 02:44:00,-2.0615,-73.699,-6.2362,0.3386899999999999,10.826,16.309,-0.6425199999999999,-17.266,11.094,,-7.6253,10
2022-11-27 02:45:00,-2.0953,-75.016,-6.2034,0.34553,10.904,16.343,-0.6546199999999999,-16.942,11.085,,-8.013,10
2022-11-27 02:46:00,-0.86246,-62.85,-5.8336,0.45754,10.831,15.367,-0.5590699999999998,-15.923,8.885,,-7.5212,10
2022-11-27 02:47:00,-2.0909,-74.84,-6.129,0.3008899999999999,10.59,16.267,-0.64782,-16.829,10.906,,-7.7786,10
2022-11-27 02:48:00,-2.0605,-73.888,-6.4365,0.3069799999999999,11.035,16.277,-0.6528,-17.334,11.311,,-7.9595,10
2022-11-27 02:49:00,-2.0374,-72.721,-6.2556,0.2726199999999999,10.331,16.261,-0.62482,-17.351,10.843,,-7.7512,10
2022-11-27 02:50:00,-2.0577,-73.25799999999998,-6.3603,0.2436,10.706,16.317,-0.63307,-17.934,11.355,,-7.5688,10
2022-11-27 02:51:00,-2.0581,-73.33,-6.2883,0.2382799999999999,10.717,16.3,-0.63073,-17.636,11.123,,-7.9305,10
2022-11-27 02:52:00,-2.0713,-74.03199999999998,-6.1203,0.2116399999999999,10.459,16.315,-0.63483,-17.071,10.845,,-7.8521,10
2022-11-27 02:53:00,-2.1158,-76.007,-6.5112,0.20624,10.715,16.283,-0.6702799999999999,-17.239,11.554,,-7.9286,10
2022-11-27 02:54:00,-2.0903,-74.894,-6.4427,0.1903199999999999,10.876,16.267,-0.6552999999999999,-17.635,11.555,,-8.0836,10
2022-11-27 02:55:00,-2.0965,-75.369,-6.2093,0.2028399999999999,10.483,16.298,-0.65566,-16.88,11.062,,-8.057299999999998,10
2022-11-27 02:56:00,-2.0579,-73.061,-6.2997,0.20041,10.827,16.372,-0.63314,-17.621,11.149,,-7.876299999999999,10
2022-11-27 02:57:00,-2.0915,-74.726,-6.1396,0.19814,10.77,16.348,-0.64902,-16.905,10.961,,-7.9538,10
2022-11-27 02:58:00,-2.1189,-76.119,-6.2082,0.21232,10.526,16.311,-0.66488,-16.508,10.977,,-7.824099999999999,10
2022-11-27 02:59:00,-2.1191,-76.159,-6.4072,0.24295,10.794,16.318,-0.67047,-17.032,11.422,,-7.9012,10
2022-11-27 03:00:00,-2.0759,-74.193,-6.3108,0.22928,10.689,16.331,-0.64783,-17.364,11.247,,-7.8754,10
2022-11-27 03:01:00,-2.0686,-73.578,-6.2902,0.21617,10.744,16.265,-0.6360799999999999,-17.46,11.105,,-7.5365,10
2022-11-27 03:02:00,1.5293,-61.122,-6.0331,0.36456,9.9757,13.572,-0.54651,-16.552,9.1591,,-5.3162,10
2022-11-27 03:03:00,1.1443,-58.225,-5.9192,0.4161599999999999,10.111,13.974,-0.52351,-16.405,8.5663,,-5.9356,10
2022-11-27 03:04:00,-2.0683,-74.101,-6.3648,0.33287,11.012,16.19,-0.6543999999999999,-17.26,11.288,,-7.6639,10
2022-11-27 03:05:00,-2.0703,-74.205,-6.4131,0.37089,10.905,16.172,-0.65071,-17.448,11.347,,-7.3838,10
2022-11-27 03:06:00,-2.0934,-74.983,-6.1684,0.3541,10.739,16.161,-0.65231,-16.843,10.981,,-7.4874,10
2022-11-27 03:07:00,-2.0655,-73.78499999999998,-6.2491,0.35181,10.609,16.12,-0.64466,-17.025,10.97,,-7.539799999999999,10
